,en-US,it-IT,zh-CN
currentUser,Current User: ,Utente Corrente: ,当前用户
connectionStatus,Connection Status: ,Stato Connessione: ,当前状态
closeDialog,Close Dialog,Chiudi Finestra,关闭对话
currentPage,Current Page: ,Pagina Attuale: ,当前页
currentAlias,Current Alias: ,Alias Attivo: ,当前别名
LoginFormOutputErrorMessage,Wrong username or password,Username o password errati,用户名或密码错误
LoginFormOutputSuccessfulMessage,Login successful,Accesso riuscito,登录成功
stationConnectionStatus,Station Connection Status,Stato Connessione PLC,站链接状态
inletPump,Inlet Pump,Pompa di Ingresso,入口泵
statusStopped,Stopped,Arrestato,停止
statusStarting,Starting,Avviato,启动中
statusRunning,Running,In funzione,运行中
statusStopping,Stopping,In arresto,停运中
statusError,Error,Errore,错误
statusFilling,Filling,Riempimento,加料中
statusEquilibrating,Equilibrating,Elaborazione,平衡中
statusSeparating,Separating,Separazione,分离中
statusFlushing,Flushing,Svuotamento,冲洗中
statusResetting,Resetting,Reimpostazione,重置中
separatorStatus,Separator Status,Stato Separatore,分离器状态
fillerParameters,Filler Parameters,Parametri Riempitrice,加料器参数
headNumber1,Head 1,Testa 1,一号头
headNumber2,Head 2,Testa 2,二号头
headNumber3,Head 3,Testa 3,三号头
bottleClampPressureSetpoint,Clamp Pressure Setpoint,Target Pressione Ganasce,钳压力设定值
bottleClampPressureActual,Actual Clamp Pressure,Pressione Attuale Ganasce,钳压力实际值
bottleSlowFillSetpoint,Slow Fill Setpoint,Setpoint Riempimento Lento,慢加料设定值
bottleStopFillSetpoint,Stop Fill Setpoint,Target Riempimento,停止加料设定值
bottleActualLevel,Actual Bottle Level,Livello Attuale di Riempimento,实际水平值
editParameters,Edit Parameters,Modifica Parametri,修改参数
pageOverview,Overview,Stato Linea,总览
pageSeparator,Separator,Separatore,分离器
pageRotaryFiller,Rotary Filler,Riempitrice,旋转加料器
pageInletTank,Inlet Tank,Serbatoio Ingresso,入口罐
pageCapper,Capper,Tappatore,封盖机
pageMaintenance,Maintenance,Manutenzione,维护
pageAlarms,Alarms,Allarmi,报警
analogAlarm,Analog Alarm,Allarme Analogico,模拟报警
digitalAlarm,Digital Alarm,Allarme Digitale,数字报警
analogAlarmActive,Analog Alarm Active,Allarme Analogico Attivo,模拟报警激活
digitalAlarmActive,Digital Alarm Active,Allarme Digitale Attivo,数字报警激活
Acknowledge,Acknowledge,Riconosci,确认
Acknowledge All,Acknowledge All,Riconosci Tutti,全部确认
Confirm,Confirm,Conferma,确定
Confirm All,Confirm All,Conferma tutti,全部确定
SourceName,Source Variable,Variabile Sorgente,原值
Timestamp,Timestamp,Timestamp,时间戳
Name,Name,Nome,名字
Message,Message,Messaggio,讯息
Active,Active,Attivo,激活的
Acked,Acked,Riconosciuto,确认的
Confirmed,Confirmed,Confermato,确定的
Severity,Severity,Gravità,安全
recipesEditor,Recipes Editor,Editor Ricette,菜单编辑器
Save,Save,Salva,保存
Delete,Delete,Cancella,删除
RecipeApply,Recipe applied,Ricetta applicata,菜单应用
Apply,Apply,Applica,应用
Load,Load,Carica,下载
RecipeDeleted,Recipe deleted,Ricetta eliminata,菜单已删除
RecipeLoaded,Recipe loaded,Ricetta caricata,菜单已下载
generateReport,Generate Report,Genera Report,生成菜单
reportFooter,This report has been automatically generated by FTOptix Studio,Questo report è stato generato automaticamente da FTOptix Studio,这个报告已被FTOptix自动生成
inletMotorAlarm,Inlet Motor Alarm,Allarme Motore Ingresso,入口电机报警
lineParametersLogging,Line Parameters Logging,Registro Parametri Linea,线参数记录中
latestAlarmsList,Latest Alarms List,Lista Ultimi Allarmi,最近报警列表
exportPath,CSV Path,Percorso CSV,CSV路径
exportCsv,Export CSV,Esporta CSV,输入CSV
importCsv,Import CSV,Importa CSV,输出CSV
Groups,Groups,Gruppi,
Locale:,Locale:,Locale:,
Create,Create,Crea,
Cancel,Cancel,Annulla,
Retentivity,Retentivity,Ritentività,保持力
Page {0} of {1},Page {0} of {1},Pagina {0} di {1},页 {0} of {1}
Alarm Grid,Alarm Grid,,
Alarm Simulation,Alarm Simulation,,
Datalogger,Datalogger,,
High Level,High Level,,
Historical Alarm Grid,Historical Alarm Grid,,
LocalTime,LocalTime,,
Login,Login,,
Report,Report,,
Refresh,Refresh,,
Report Stylesheet 1,Report Stylesheet 1,,
Report Stylesheet 2,Report Stylesheet 2,,
Setpoint out of scale,Setpoint out of scale,,
User Editor,User Editor,,
